generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
1,344,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
2,344,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
3,333,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
4,347,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
5,317,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
6,345,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
7,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
8,332,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
9,327,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
10,337,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
11,340,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
12,347,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
13,351,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
14,328,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
15,343,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
16,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
17,348,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
18,343,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
19,341,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
20,356,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
21,337,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
22,337,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
23,339,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
24,358,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
25,332,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
26,328,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
27,344,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
28,328,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
29,323,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
30,345,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
31,338,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
32,339,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
33,326,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
34,347,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
35,334,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
36,333,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
37,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
38,352,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
39,358,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
40,348,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
41,340,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
42,334,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
43,345,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
44,331,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
45,328,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
46,331,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
47,349,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
48,337,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
49,341,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
50,335,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
51,344,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
52,348,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
53,343,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
54,346,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
55,315,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
56,355,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
57,345,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
58,345,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
59,351,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
60,343,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
61,342,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
62,338,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
63,326,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
64,353,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
65,337,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
66,349,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
67,335,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
68,338,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
69,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
70,356,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
71,319,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
72,348,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
73,339,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
74,354,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
75,338,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
76,334,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
77,353,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
78,331,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
79,346,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
80,335,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
81,342,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
82,350,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
83,343,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
84,327,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
85,339,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
86,333,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
87,341,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
88,336,1.2795794678211802e-05,1.939079218620806e-05,1.5619707530731896e-05,1.1877266298616195e-06
